MUNICIPIO,LAT,LON
SABANETA,6.1515344,-75.6153715
CAUCASIA,7.9877579,-75.1983745
SAN PEDRO DE URABA,8.2778883,-76.3830793
SANTA BARBARA,5.8743766,-75.5679573
CAROLINA,7.1050317,-75.3869174
RIONEGRO,6.1536166,-75.3741691
SAN JUAN DE URABA,8.7609887,-76.5283566
SAN PEDRO,6.3378263,-75.1441094
RETIRO,6.4967130,-76.3990422
COPACABANA,6.3461047,-75.5080262
ANORI,7.0736127,-75.1466433
BETULIA,6.1134294,-75.9845433
GUADALUPE,6.8149918,-75.2403991
ITAGUI,6.1724352,-75.6093254
SABANALARGA,6.8486870,-75.8166534
DABEIBA,7.0015209,-76.2666243
GUATAPE,6.2342179,-75.1617452
CHIGORODO,7.6129384,-76.6384260
BURITICA,6.7198530,-75.9068707
AMAGA,6.0406977,-75.7030694
BELLO,6.3349970,-75.5582665
BARBOSA,6.4370185,-75.3313779
MACEO,6.5535012,-74.7877474
CAREPA,7.7984516,-76.7460389
YALI,6.6754260,-74.8422600
JERICO,5.7914622,-75.7862133
PUERTO NARE-LA MAGDALENA,6.1876653,-74.5828711
ANDES,5.6555942,-75.8778448
ENTRERRIOS,6.5915992,-75.5622405
FREDONIA,5.9270644,-75.6718221
ABEJORRAL,5.7914299,-75.4270381
TITIRIBI,6.0633763,-75.7937300
MUTATA,7.2440678,-76.4365420
REMEDIOS,7.0285327,-74.6951910
SANTA ROSA DE OSOS,6.6453171,-75.4614576
URRAO,6.3168685,-76.1344983
ANZA,6.3034529,-75.8540836
ANGELOPOLIS,6.1115405,-75.7102848
GIRALDO,6.6804539,-75.9533800
SANTUARIO,5.7916434,-75.4282867
TAMESIS,5.6652526,-75.7139862
SOPETRAN,6.5009582,-75.7424979
EBEJICO,6.3265312,-75.7685045
LA PINTADA,5.7466446,-75.6054273
SAN JERONIMO,6.4427228,-75.7279370
COCORNA,6.0580111,-75.1859102
SAN RAFAEL,6.2954934,-75.0280123
SAN FRANCISCO,5.8740017,-74.9643254
SAN LUIS,6.0428128,-74.9944061
YONDO-CASABE,7.0044426,-73.9113922
ARGELIA,5.7310785,-75.1428525
LA CEJA,5.9843082,-75.4475229
BETANIA,5.7451779,-75.9768362
YOLOMBO,6.5981185,-75.0108088
ARBOLETES,8.8528266,-76.4273168
SAN ANDRES,5.6062283,-75.2186156
VALDIVIA,7.1655190,-75.4386140
TARAZA,7.5804751,-75.3998498
PEQUE,7.0216424,-75.9095164
YARUMAL,6.9625927,-75.4165529
SEGOVIA,7.0816790,-74.7009089
VIGIA DEL FUERTE,6.5896299,-76.8962209
SONSON,5.7106659,-75.3103532
SALGAR,5.9631358,-75.9791386
EL BAGRE,7.6977101,-74.6222028
LA UNION,5.9737744,-75.3613093
CARACOLI,6.4092756,-74.7566979
CARMEN DE VIBORAL,6.0833063,-75.3353501
MONTEBELLO,5.9458633,-75.5246825
NARIÑO,5.5518303,-75.1917314
TOLEDO,7.0109536,-75.6921058
VENECIA,5.9635386,-75.7339175
TURBO,8.0952972,-76.7289956
SAN ROQUE,6.4851146,-75.0195044
GRANADA,6.1442998,-75.1844057
VALPARAISO,5.6153841,-75.6247028
CAMPAMENTO,6.9790857,-75.2963715
GIRARDOTA,6.3773809,-75.4459762
CALDAS,6.0918609,-75.6356917
CONCEPCION,6.3953198,-75.2593230
HISPANIA,5.7995350,-75.9073763
ENVIGADO,6.1701348,-75.5874150
JARDIN,5.5990503,-75.8191833
PEÑOL,6.2542863,-75.2367760
ANTIOQUIA,7.2181560,-75.3746515
BOLIVAR,6.1400721,-75.2663539
APARTADO,7.8849011,-76.6227461
MEDELLIN,6.2697325,-75.6025597
ALEJANDRIA,6.3769175,-75.1411601
CARAMANTA,5.5487065,-75.6444056
DON MATIAS,6.4232422,-75.4451091
CACERES,7.5770890,-75.3514383
CAÑASGORDAS,6.7519854,-76.0261638
HELICONIA,6.2076404,-75.7339685
ARMENIA,6.1561777,-75.7870472
PUERTO BERRIO,6.4899205,-74.4020634
BELMIRA,6.6067790,-75.6674590
CISNEROS,6.5382418,-75.0871316
BRICEÑO,7.1231235,-75.5818421
ABRIAQUI,6.6318640,-76.0645258
NECOCLI,8.4242821,-76.7840190
TARSO,5.8640640,-75.8217932
CAICEDO,6.4059550,-75.9825592
SAN CARLOS,6.1908026,-74.9437879
LIBORINA,6.6781311,-75.8112309
ITUANGO,7.1723319,-75.7640925
SANTO DOMINGO,6.4712210,-75.1643724
URAMITA,6.8993072,-76.1742258
OLAYA,6.6281792,-75.8123079
CONCORDIA,6.0457595,-75.9074199
SAN JOSE DE LA MONTAÑA,6.8169298,-75.6756064
NECHI,8.0938077,-74.7751988
LA ESTRELLA,6.1576781,-75.6433878
VEGACHI,6.8613372,-74.7234644
FRONTINO,6.7721761,-76.1311575
SAN VICENTE,6.2826782,-75.3318244
GOMEZ PLATA,6.6815224,-75.2194104
MARINILLA,6.1736417,-75.3346548
ZARAGOZA,7.4925154,-74.8682314
GUARNE,6.2800171,-75.4426875
ANGOSTURA,6.8858191,-75.3349565
PUEBLORRICO,5.8194403,-75.8592985
PUERTO TRIUNFO,5.8689335,-74.6407965
AMALFI,6.9070097,-75.0735908
